title,year,production_company,category,type,phase
My Friends Tigger and Pooh: Super Sleuth Christmas,2007,Disney,Movie,Animated,
Little Mermaid III - Ariel's Beginning,2008,Disney,Movie,Animated,
Tinker Bell,2008,Disney,Movie,Animated,
Bolt,2008,Disney,Movie,Animated,
Tinker Bell and the Lost Treasure,2009,Disney,Movie,Animated,
Tigger & Pooh and a Musical Too,2009,Disney,Movie,Animated,
Ponyo,2009,Disney,Movie,Animated,
"Christmas Carol, A",2009,Disney,Movie,Animated,
The Princess and the Frog,2009,Disney,Movie,Animated,
Tinker Bell and the Great Fairy Rescue,2010,Disney,Movie,Animated,
Tangled,2010,Disney,Movie,Animated,
Winnie the Pooh,2011,Disney,Movie,Animated,
Phineas & Ferb: Across the 2nd Dimension,2011,Disney,Movie,Animated,
Mars Needs Moms,2011,Disney,Movie,Animated,
Tinker Bell: Secret of the Wings,2012,Disney,Movie,Animated,
Sofia the First: Once Upon a Princess,2012,Disney,Movie,Animated,
The Secret World of Arrietty,2012,Disney,Movie,Animated,
Frankenweenie,2012,Disney,Movie,Animated,
Wreck-It Ralph,2012,Disney,Movie,Animated,
Planes,2013,Disney,Movie,Animated,
Frozen,2013,Disney,Movie,Animated,
Big Hero 6,2014,Disney,Movie,Animated,
Planes: Fire Rescue,2014,Disney,Movie,Animated,
Tinkerbell and the Legend of the Neverbeast,2015,Disney,Movie,Animated,
Zootopia,2016,Disney,Movie,Animated,
Moana,2016,Disney,Movie,Animated,
Ralph Breaks the Internet,2018,Disney,Movie,Animated,
Halloweentown,1998,Disney Channel,Movie,Animated,
Johnny Tsunami,1999,Disney Channel,Movie,Live Action,
Don't Look Under The Bed,1999,Disney Channel,Movie,Animated,
The Thirteenth Year,1999,Disney Channel,Movie,Animated,
Horse Sense,1999,Disney Channel,Movie,Live Action,
Can of Worms,1999,Disney Channel,Movie,Live Action,
Smart House,1999,Disney Channel,Movie,Live Action,
Genius,1999,Disney Channel,Movie,Live Action,
Zenon: Girl of the 21st Century,1999,Disney Channel,Movie,Live Action,
Mom's Got A Date With A Vampire,2000,Disney Channel,Movie,Live Action,
Miracle in Lane 2,2000,Disney Channel,Movie,Live Action,
The Other Me,2000,Disney Channel,Movie,Live Action,
Stepsister From Planet Weird,2000,Disney Channel,Movie,Live Action,
Quints,2000,Disney Channel,Movie,Live Action,
Ready to Run,2000,Disney Channel,Movie,Live Action,
The Ultimate Christmas Present,2000,Disney Channel,Movie,Live Action,
"Up, Up, and Away",2000,Disney Channel,Movie,Live Action,
The Color of Friendship,2000,Disney Channel,Movie,Live Action,
Alley Cats Strike,2000,Disney Channel,Movie,Live Action,
Phantom of the Megaplex,2000,Disney Channel,Movie,Live Action,
Rip Girls,2000,Disney Channel,Movie,Live Action,
Zenon: The Zequel,2001,Disney Channel,Movie,Live Action,
Jumping Ship,2001,Disney Channel,Movie,Live Action,
Hounded,2001,Disney Channel,Movie,Live Action,
Jett Jackson: The Movie,2001,Disney Channel,Movie,Live Action,
The Jennie Project,2001,Disney Channel,Movie,Live Action,
Twas the Night,2001,Disney Channel,Movie,Live Action,
The Luck of the Irish,2001,Disney Channel,Movie,Live Action,
The Poof Point,2001,Disney Channel,Movie,Live Action,
Motocrossed,2001,Disney Channel,Movie,Live Action,
Halloweentown II: Kalabar's Revenge,2001,Disney Channel,Movie,Live Action,
Cadet Kelly,2002,Disney Channel,Movie,Live Action,
Get a Clue,2002,Disney Channel,Movie,Live Action,
Double Teamed,2002,Disney Channel,Movie,Live Action,
Eddie's Million Dollar Cook-Off,2003,Disney Channel,Movie,Live Action,
Kim Possible: A Sitch in Time,2003,Disney Channel,Movie,Live Action,
You Wish!,2003,Disney Channel,Movie,Live Action,
Full-Court Miracle,2003,Disney Channel,Movie,Live Action,
The Cheetah Girls,2003,Disney Channel,Movie,Live Action,
Right On Track,2003,Disney Channel,Movie,Live Action,
The Even Stevens Movie,2003,Disney Channel,Movie,Live Action,
Going to the Mat,2004,Disney Channel,Movie,Live Action,
Halloweentown High,2004,Disney Channel,Movie,Live Action,
Pixel Perfect,2004,Disney Channel,Movie,Animated,
Zenon: Z3,2004,Disney Channel,Movie,Live Action,
Tiger Cruise,2004,Disney Channel,Movie,Animated,
Stuck in the Suburbs,2004,Disney Channel,Movie,Live Action,
Go Figure,2005,Disney Channel,Movie,Live Action,
Buffalo Dreams,2005,Disney Channel,Movie,Live Action,
The Proud Family Movie,2005,Disney Channel,Movie,Live Action,
Life is Ruff,2005,Disney Channel,Movie,Live Action,
Kim Possible Movie: So the Drama,2005,Disney Channel,Movie,Live Action,
Now You See It...,2005,Disney Channel,Movie,Live Action,
Twitches,2005,Disney Channel,Movie,Live Action,
Read It And Weep,2006,Disney Channel,Movie,Live Action,
Return to Halloweentown,2006,Disney Channel,Movie,Animated,
High School Musical,2006,Disney Channel,Movie,Live Action,
Wendy Wu: Homecoming Warrior,2006,Disney Channel,Movie,Live Action,
The Cheetah Girls 2,2006,Disney Channel,Movie,Live Action,
Cow Belles,2006,Disney Channel,Movie,Live Action,
Johnny Kapahala: Back on Board,2007,Disney Channel,Movie,Live Action,
High School Musical 2,2007,Disney Channel,Movie,Live Action,
Jump In!,2007,Disney Channel,Movie,Live Action,
Twitches Too,2007,Disney Channel,Movie,Live Action,
Minutemen,2008,Disney Channel,Movie,Live Action,
The Cheetah Girls: One World,2008,Disney Channel,Movie,Live Action,
Camp Rock,2008,Disney Channel,Movie,Live Action,
Princess Protection Program,2009,Disney Channel,Movie,Live Action,
Hatching Pete,2009,Disney Channel,Movie,Live Action,
Wizards of Waverly Place: The Movie,2009,Disney Channel,Movie,Live Action,
Dadnapped,2009,Disney Channel,Movie,Live Action,
Camp Rock 2: The Final Jam,2010,Disney Channel,Movie,Live Action,
Star Struck,2010,Disney Channel,Movie,Live Action,
Den Brother,2010,Disney Channel,Movie,Live Action,
Avalon High,2010,Disney Channel,Movie,Live Action,
The Suite Life Movie,2011,Disney Channel,Movie,Live Action,
